"","Transport.DtTm","Hospital.DtTm"
"2","12/02/2016 12:37:54 AM","12/02/2016 12:45:09 AM"
"4","12/02/2016 12:09:17 AM","12/02/2016 12:11:34 AM"
"14","12/01/2016 07:46:51 PM","12/01/2016 08:04:09 PM"
"15","12/01/2016 07:33:47 PM","12/01/2016 07:46:00 PM"
"17","12/01/2016 07:24:48 PM","12/01/2016 07:35:53 PM"
"19","12/01/2016 07:40:09 PM","12/01/2016 07:49:53 PM"
"21","12/01/2016 07:15:31 PM","12/01/2016 07:35:40 PM"
"26","12/01/2016 07:13:40 PM","12/01/2016 07:32:13 PM"
"30","12/01/2016 08:05:24 PM","12/01/2016 08:24:14 PM"
"33","12/01/2016 07:19:54 PM","12/01/2016 07:48:59 PM"
"36","12/01/2016 07:15:06 PM","12/01/2016 07:35:19 PM"
"41","12/01/2016 07:07:07 PM","12/01/2016 07:32:23 PM"
"44","12/01/2016 07:19:23 PM","12/01/2016 07:48:43 PM"
"46","12/01/2016 06:34:29 PM","12/01/2016 07:04:07 PM"
"56","12/01/2016 07:08:32 PM","12/01/2016 07:22:58 PM"
"67","12/01/2016 06:31:18 PM","12/01/2016 06:52:05 PM"
"71","12/01/2016 06:49:14 PM","12/01/2016 07:02:58 PM"
"76","12/01/2016 06:51:35 PM","12/01/2016 07:03:10 PM"
"77","12/01/2016 06:29:21 PM","12/01/2016 06:37:12 PM"
"81","12/01/2016 06:03:37 PM","12/01/2016 06:04:15 PM"
"88","12/01/2016 06:05:41 PM","12/01/2016 06:28:31 PM"
"89","12/01/2016 06:07:31 PM","12/01/2016 06:32:01 PM"
"105","12/01/2016 05:54:57 PM","12/01/2016 06:13:10 PM"
"109","12/01/2016 06:04:02 PM","12/01/2016 06:23:17 PM"
"110","12/01/2016 05:51:27 PM","12/01/2016 06:23:07 PM"
"114","12/01/2016 05:38:24 PM","12/01/2016 05:58:13 PM"
"123","12/01/2016 05:34:06 PM","12/01/2016 06:02:04 PM"
"127","12/01/2016 05:23:02 PM","12/01/2016 05:30:37 PM"
"133","12/01/2016 10:28:10 AM","12/01/2016 10:43:05 AM"
"135","12/01/2016 10:29:08 AM","12/01/2016 10:52:41 AM"
"143","12/01/2016 10:22:15 AM","12/01/2016 10:29:41 AM"
"152","12/01/2016 10:09:00 AM","12/01/2016 10:52:06 AM"
"155","12/01/2016 10:09:04 AM","12/01/2016 10:39:15 AM"
"159","12/01/2016 09:52:40 AM","12/01/2016 09:56:37 AM"
"161","12/01/2016 09:56:32 AM","12/01/2016 10:23:48 AM"
"165","12/01/2016 09:38:47 AM","12/01/2016 09:49:23 AM"
"166","12/01/2016 09:42:30 AM","12/01/2016 09:57:35 AM"
"170","12/01/2016 09:23:14 AM","12/01/2016 09:33:36 AM"
"172","12/01/2016 09:21:07 AM","12/01/2016 09:30:19 AM"
"176","12/01/2016 09:36:53 AM","12/01/2016 10:20:13 AM"
"186","12/01/2016 09:12:33 AM","12/01/2016 09:38:22 AM"
"187","12/01/2016 09:17:55 AM","12/01/2016 09:36:45 AM"
"190","12/01/2016 08:59:56 AM","12/01/2016 09:34:45 AM"
"194","12/01/2016 08:51:26 AM","12/01/2016 09:14:20 AM"
"201","12/01/2016 08:44:32 AM","12/01/2016 09:35:11 AM"
"204","12/01/2016 08:40:27 AM","12/01/2016 09:03:29 AM"
"211","12/01/2016 08:27:07 AM","12/01/2016 08:53:25 AM"
"217","12/01/2016 08:19:30 AM","12/01/2016 08:46:44 AM"
"218","12/01/2016 08:20:31 AM","12/01/2016 08:50:38 AM"
"220","12/01/2016 08:24:58 AM","12/01/2016 08:31:54 AM"
"222","12/01/2016 08:05:03 AM","12/01/2016 08:20:06 AM"
"223","12/01/2016 08:11:42 AM","12/01/2016 08:31:59 AM"
"224","12/01/2016 08:13:49 AM","12/01/2016 08:36:17 AM"
"228","12/01/2016 08:13:10 AM","12/01/2016 08:45:17 AM"
"236","12/01/2016 10:27:38 PM","12/01/2016 10:32:56 PM"
"239","12/01/2016 10:25:21 PM","12/01/2016 10:42:23 PM"
"241","12/01/2016 10:26:39 PM","12/01/2016 10:40:30 PM"
"244","12/01/2016 10:09:23 PM","12/01/2016 10:15:47 PM"
"245","12/01/2016 10:17:22 PM","12/01/2016 10:49:49 PM"
"246","12/01/2016 10:09:55 PM","12/01/2016 10:19:44 PM"
"247","12/01/2016 10:11:34 PM","12/01/2016 10:21:50 PM"
"252","12/01/2016 09:55:24 PM","12/01/2016 10:08:13 PM"
"253","12/01/2016 09:50:09 PM","12/01/2016 09:55:55 PM"
"255","12/01/2016 09:50:55 PM","12/01/2016 10:06:58 PM"
"257","12/01/2016 09:47:48 PM","12/01/2016 10:15:34 PM"
"258","12/01/2016 10:00:59 PM","12/01/2016 10:12:23 PM"
"262","12/01/2016 10:00:49 PM","12/01/2016 10:35:51 PM"
"263","12/01/2016 09:46:38 PM","12/01/2016 10:00:39 PM"
"265","12/01/2016 09:44:29 PM","12/01/2016 09:56:24 PM"
"268","12/01/2016 09:34:36 PM","12/01/2016 09:46:50 PM"
"270","12/01/2016 09:28:21 PM","12/01/2016 09:44:52 PM"
"273","12/01/2016 09:27:41 PM","12/01/2016 09:36:19 PM"
"275","12/01/2016 09:10:42 PM","12/01/2016 09:34:31 PM"
"279","12/01/2016 09:16:16 PM","12/01/2016 09:39:01 PM"
"280","12/01/2016 09:12:22 PM","12/01/2016 09:23:44 PM"
"282","12/01/2016 09:14:47 PM","12/01/2016 09:34:58 PM"
"287","12/01/2016 09:02:26 PM","12/01/2016 09:40:17 PM"
"293","12/01/2016 09:00:45 PM","12/01/2016 09:13:34 PM"
"295","12/01/2016 08:54:00 PM","12/01/2016 09:10:20 PM"
"297","12/01/2016 08:58:23 PM","12/01/2016 09:21:39 PM"
"301","12/01/2016 08:44:42 PM","12/01/2016 08:55:10 PM"
"307","12/01/2016 08:21:19 PM","12/01/2016 08:36:07 PM"
"309","12/01/2016 08:00:29 PM","12/01/2016 08:12:18 PM"
"311","12/01/2016 08:06:11 PM","12/01/2016 08:16:37 PM"
"314","12/01/2016 08:11:11 PM","12/01/2016 08:21:23 PM"
"315","12/01/2016 08:31:12 PM","12/01/2016 08:52:05 PM"
"317","12/01/2016 08:16:47 PM","12/01/2016 08:28:55 PM"
"321","12/01/2016 08:03:21 PM","12/01/2016 08:12:08 PM"
"327","12/01/2016 07:39:22 PM","12/01/2016 08:00:42 PM"
"329","12/01/2016 07:48:40 PM","12/01/2016 08:07:14 PM"
"335","12/01/2016 07:45:25 PM","12/01/2016 07:58:11 PM"
"354","12/01/2016 03:52:19 AM","12/01/2016 04:22:42 AM"
"359","12/01/2016 03:40:40 AM","12/01/2016 03:53:34 AM"
"366","12/01/2016 03:06:18 AM","12/01/2016 03:15:41 AM"
"368","12/01/2016 03:02:08 AM","12/01/2016 03:22:03 AM"
"376","12/01/2016 03:15:08 AM","12/01/2016 03:30:04 AM"
"378","12/01/2016 02:59:58 AM","12/01/2016 03:16:31 AM"
"379","12/01/2016 02:39:36 AM","12/01/2016 02:56:04 AM"
"380","12/01/2016 02:47:28 AM","12/01/2016 03:19:32 AM"
"382","12/01/2016 02:44:06 AM","12/01/2016 02:50:47 AM"
"393","12/01/2016 02:41:59 AM","12/01/2016 02:51:22 AM"
"394","12/01/2016 01:49:40 AM","12/01/2016 01:52:06 AM"
"395","12/01/2016 01:27:17 AM","12/01/2016 01:41:01 AM"
"399","12/01/2016 01:43:36 AM","12/01/2016 02:05:30 AM"
"400","12/01/2016 01:26:40 AM","12/01/2016 01:40:26 AM"
"409","12/01/2016 01:00:07 AM","12/01/2016 01:14:48 AM"
"410","12/01/2016 12:54:34 AM","12/01/2016 01:06:42 AM"
"415","12/01/2016 12:42:23 AM","12/01/2016 12:58:54 AM"
"416","12/01/2016 12:36:00 AM","12/01/2016 12:43:26 AM"
"418","12/01/2016 12:38:34 AM","12/01/2016 12:58:54 AM"
"419","12/01/2016 12:36:46 AM","12/01/2016 12:54:45 AM"
"438","12/01/2016 03:52:27 PM","12/01/2016 04:13:49 PM"
"440","12/01/2016 04:01:31 PM","12/01/2016 04:17:21 PM"
"443","12/01/2016 03:48:42 PM","12/01/2016 04:25:45 PM"
"445","12/01/2016 03:35:27 PM","12/01/2016 03:42:40 PM"
"451","12/01/2016 03:50:50 PM","12/01/2016 03:50:54 PM"
"453","12/01/2016 03:21:25 PM","12/01/2016 03:28:17 PM"
"455","12/01/2016 03:28:20 PM","12/01/2016 03:45:06 PM"
"460","12/01/2016 03:20:44 PM","12/01/2016 03:50:17 PM"
"461","12/01/2016 03:22:27 PM","12/01/2016 03:29:25 PM"
"462","12/01/2016 03:18:18 PM","12/01/2016 03:41:38 PM"
"465","12/01/2016 03:06:10 PM","12/01/2016 03:25:29 PM"
"467","12/01/2016 03:00:42 PM","12/01/2016 03:44:37 PM"
"474","12/01/2016 02:55:05 PM","12/01/2016 03:22:43 PM"
"478","12/01/2016 02:45:47 PM","12/01/2016 02:56:05 PM"
"480","12/01/2016 02:44:38 PM","12/01/2016 03:03:24 PM"
